image_id,hallu_cnt,chairi,len,hallu_words,caption
223626,4,0.6666666666666666,0.0,toilet|knife|fork|bottle,"The scene features a small black cat sitting on a kitchen counter and next to a large kitchen sponge. Below the cat, there is a toilet paper roll and a pot of water. The kitchen counter is dominated by kitchen objects, such as knives, forks, and bottles, and"
214869,4,0.5,0.0,handbag|handbag|handbag|handbag,"The image features a woman in a floral shirt reaching into her purse, which appears to hold a phone. She is likely accessing the phone in her purse with a finger. Additionally, the purse also contains a wallet that can be seen near the phone in her hand. There are multiple hands"
45229,3,1.0,0.0,orange|chair|cup,"The image depicts a small kitchen with a window as its focal point. The vintage orange chest of drawers stands close to the window, placed next to a chair. There are various knick-knacks on top of the drawers, with several cups scattered throughout the room."
236739,3,1.0,0.0,traffic light|car|car,"The image showcases a beautiful bridge, positioned over water, with a traffic signal shining brightly on a distant side of the bridge. There are several vehicles on or under the bridge, with several cars located on the far side of the structure and one car passing by close to the center of the bridge."
209930,3,0.75,0.0,bench|chair|bench,"The scene is an outdoor view of a baseball field filled with large wooden benches for fans. Above the field, there is a large electronic scoreboard displaying the score. The field is lined up with baseball players and several spectators are seated on the benches, enjoying a game at the"
203483,3,0.75,0.0,bus|bus|bus,"A white and yellow parking meter stands in front of a moving bus near a street intersection. The bus appears to be passing through the area as it moves towards the right side of the image. The meter is positioned to the left of the street, near the intersection, with the bus blurred by motion"
150779,2,1.0,0.0,couch|chair,"The image features an empty street at night with a trash can labeled ""dead end"". The trash can sits on the corner of the street near the curb, surrounded by a pile of old furniture, including sofas and chairs. Trees are visible in the background, giving"
571598,2,1.0,0.0,cell phone|cell phone,"The image shows three men standing in a crowded room, all smiling and enjoying themselves. Two of the men are together holding Nintendo Wii controllers, while the third is holding a phone close to his ear. The controllers are positioned at the front of the group, and the phone is placed near"
532142,2,0.6666666666666666,0.0,motorcycle|traffic light,"The image depicts a bustling urban area, with a train making its way near a set of streetcar tracks located in front of some buildings. Several motorbikes are scattered around the scene, with a mix of colors and sizes. Additionally, several traffic lights can be seen suspended above the track"
414560,2,0.6666666666666666,0.0,bottle|cup,"The image depicts two cows, one on the left side and the other near the center, lying on straw bales within a small, fenced area. The straw is covered in hay, giving the space a cozy and comfortable atmosphere. Four bottles and another cup can be seen scattered"
402357,2,0.5,0.0,truck|truck,"The photo showcases an adult elephant standing at a stone wall. It's walking toward a wooden gate, looking slightly toward its left side, near a truck parked outside the fence. The truck appears to be passing by, moving in the direction of the elephant. The ele"
431159,2,0.5,0.0,chair|person,"The image features an elephant standing in a large enclosure near a body of water. The elephant is walking down a dirt path between two small pools of water. There are several chairs scattered around the enclosure, providing a place for people to observe and enjoy the presence of the ele"
435894,2,0.5,0.0,person|dog,"The image features a snowy landscape with a snowboard placed inside a tent. The snowboard is on a black plate, which suggests that it is being stored in the tent for protection from the elements. There is a person or dog in the same area, but it is difficult to distinguish whether they are interacting"
492163,2,0.5,0.0,bus|car,"The image showcases a classic fire hydrant with an open cap positioned near a crosswalk on the corner of a street. The hydrant has a small, raised plaque showing the street name, ""150"" on top. A bus is driving in the background, and there are several other cars"
187352,2,0.5,0.0,cup|bottle,The image captures a man in a yellow shirt and blue shorts playing a game of tennis at the tennis court. He is serving the ball and reaching towards it with his arm. There are two cups on the ground near the tennis court and a bottle placed on the right side of the tennis court
4620,2,0.5,0.0,person|fire hydrant,"The image features a parking meter sitting beside the sidewalk, next to the street. The meter has a unique design, featuring two large, distinct circles where people would typically pay to park. Two cars are parked in the background, likely leaving space for the meters. There's a fire hydrant on"
516408,2,0.5,0.0,handbag|chair,"The image features a scene where a small white cat leisurely watches a television from a vantage point on the floor by a wooden cabinet. There are two handbags placed nearby, one towards the left corner and the other towards the right corner. A chair rests on the far right side of"
231237,2,0.5,0.0,bowl|bottle,"The image presents a vase with a variety of red flowers that are perfectly arranged on top of a kitchen counter. The flowers are vibrant, providing a beautiful centerpiece for the scene. The vase is nestled among various objects in the kitchen, including a bowl and a bottle, making"
123053,2,0.5,0.0,handbag|person,"The scene features a bright red fire hydrant placed atop a cobblestone sidewalk next to a tall brick building. In the foreground, a handbag, possibly belonging to someone walking past the hydrant, rests on the sidewalk.  Several other people are visible further away from the scene"
279024,2,0.4,0.0,bowl|handbag,"The scene features a large white toilet bowl sitting on the sidewalk outside a building. Bags containing items can be seen surrounding the toilet, with some bags closer to the edge of the sidewalk and others farther back. A handbag hangs above the toilet, possibly indicating"
