metric,target_recall,precision_at_target_recall,achieved_recall_at_target,threshold_at_target_recall,non_hallucinated_ratio_at_target_recall,predicted_hallucinated_ratio_at_target_recall
detector_evidence_low,0.9,0.6096654275092936,0.9010989010989011,0.9871734790503979,0.7865079365079365,0.21349206349206348
detector_evidence_low,0.95,0.3844444444444444,0.9505494505494505,0.9868613611906767,0.6428571428571428,0.35714285714285715
detector_evidence_low,0.98,0.2877813504823151,0.9835164835164835,0.9866568436846137,0.5063492063492063,0.4936507936507937
detector_evidence_low,0.99,0.18009950248756218,0.9945054945054945,0.9862093953415751,0.20238095238095233,0.7976190476190477
grounding_low,0.9,0.27378964941569284,0.9010989010989011,0.7464128136634827,0.5246031746031746,0.4753968253968254
grounding_low,0.95,0.23315363881401618,0.9505494505494505,0.735984206199646,0.4111111111111111,0.5888888888888889
grounding_low,0.98,0.19164882226980728,0.9835164835164835,0.722200870513916,0.2587301587301587,0.7412698412698413
grounding_low,0.99,0.17779960707269155,0.9945054945054945,0.7155335247516632,0.19206349206349205,0.807936507936508
uncertainty_topk_entropy,0.9,0.14455917394757745,1.0,0.11709332466125488,0.0007936507936507908,0.9992063492063492
uncertainty_topk_entropy,0.95,0.14455917394757745,1.0,0.11709332466125488,0.0007936507936507908,0.9992063492063492
uncertainty_topk_entropy,0.98,0.14455917394757745,1.0,0.11709332466125488,0.0007936507936507908,0.9992063492063492
uncertainty_topk_entropy,0.99,0.14455917394757745,1.0,0.11709332466125488,0.0007936507936507908,0.9992063492063492
vis_deficit,0.9,0.14832925835370822,1.0,-5.653703212738037,0.02619047619047621,0.9738095238095238
vis_deficit,0.95,0.14832925835370822,1.0,-5.653703212738037,0.02619047619047621,0.9738095238095238
vis_deficit,0.98,0.14832925835370822,1.0,-5.653703212738037,0.02619047619047621,0.9738095238095238
vis_deficit,0.99,0.14832925835370822,1.0,-5.653703212738037,0.02619047619047621,0.9738095238095238
